identifier,title
HR 5843,"To require the Secretary of the Treasury to consider certain transactions related to precious metals for purposes of identifying jurisdictions of primary money laundering concern, and for other purposes."
S 1872,United States Army Rangers Veterans of World War II Congressional Gold Medal Act
SCONRES 19,A concurrent resolution permitting the use of the rotunda of the Capitol for a ceremony as part of the commemoration of the 100th anniversary of the dedication of the Tomb of the Unknown Soldier.
HR 5907,Water Infrastructure for Rural and Impoverished Communities Act
S 3190,Judgment Fund Accountability Act of 2021
HR 3400,VA Emergency Transportation Act
HR 4641,Smoke Planning and Research Act of 2021
HR 9296,Prison Staffing Reform Act of 2022
HR 1313,Healthy Food Access for All Americans Act
S 19,FEED Act
S 2997,A bill to prohibit a COVID-19 vaccination requirement for eligibility in nutrition programs.
HR 5974,Veterans and Consumers Fair Credit Act
S 3165,Zeroing Out Money for Buying Influence after Elections (ZOMBIE) Act
HR 4592,Holding Iranian Leaders Accountable Act of 2021
SRES 186,A resolution honoring the humanitarian work of Dr. Aristides de Sousa Mendes do Amaral e Abranches to save the lives of French Jews and other persons during the Holocaust.
HR 5833,Equine Tax Fairness Act
S 3197,Platform Competition and Opportunity Act of 2021
HR 525,COVID HCBS Relief Act of 2021
HR 5832,Retirement Savings Lost and Found Act of 2021
S 3163,RURAL Exams Act of 2021
HR 5813,NOSHA Act
HR 6081,Improving Chassis Capacity for Memphis’ Supply Chain Act
S 3320,"A bill to designate the facility of the United States Postal Service located at 100 3rd Avenue Northwest in Perham, Minnesota, as the ""Charles P. Nord Post Office""."
S 3272,Arctic Focus Act
HR 2937,Rail Passenger Fairness Act
S 3180,Rachel Booth Act
S 3171,"Teacher, Principal, and Leader Residency Access Act"
HR 5945,GI Bill Distance Learning Improvement Act
HR 5836,Enhancing DIVERSITY Data Act
S 3182,Safe Shelters Act of 2021
HR 4598,Cargo Flight Deck Security Act of 2021
SRES 195,A resolution recognizing the 50th anniversary of the McClellan-Kerr Arkansas River Navigation System.
HR 4670,Advanced Safe Testing at Residence Telehealth Act of 2021
HR 4556,Energy PRICE Act of 2021
SRES 505,A resolution commemorating the success of the United States Olympic and Paralympic Teams in the past 24 Olympic Winter Games and 12 Paralympic Winter Games and supporting the United States Olympic and Paralympic Teams in the 2022 Olympic Winter Games and Paralympic Winter Games.
S 3177,Protection of Social Security Benefits Restoration Act
HR 3931,Promoting Health Careers in Community and Technical Colleges Act
HR 3968,Municipal IDs Acceptance Act
HR 4405,Small Business FDA User Fee Adjustment Act of 2021
HR 3139,PEAKER Act of 2021
S 3239,Healthy MOM Act
S 2981,HELPER Act of 2021
HR 5830,AMAZON21 Act
SRES 428,"A resolution recognizing October 2021 as ""National Principals Month""."
S 1312,Metastatic Breast Cancer Access to Care Act
S 3172,Foreign Agents Registration Modernization Act of 2021
HR 6952,RAISE Act
HR 876,Improving Housing Outcomes for Veterans Act of 2021
HR 6285,Accelerating Holding Foreign Companies Accountable Act
S 3194,Vet Center Support Act
S 3178,A bill to express the sense of Congress on interoperability with Taiwan.
S 3192,Taiwan Deterrence Act
HR 4015,SUPPORT for New Workers Act
S 2246,A bill to provide grants to support the hiring of law enforcement officers.
