identifier,title
HR 2945,VR&E NEED Act
HR 8836,EXPORT Act of 2022
S 923,RECYCLE Act of 2021
HR 987,"To establish a grant program for domestic maritime workforce training and education, and for other purposes."
HRES 122,Electing a Member to a certain standing committee of the House of Representatives.
S 494,Green Bus Tax Credit Act of 2021
HR 8270,Emergency Advance Refill Notification Act of 2022
HR 722,Ensuring Vaccination and Treatment Affordability Act
HRES 369,"Expressing support for the designation of May 5, 2021, as the ""National Day of Awareness for Missing and Murdered Native Women and Girls""."
SRES 768,A resolution recognizing and supporting the goals and ideals of National Forensic Science Week.
HR 1171,Stand By Every Ad Ac
HR 8849,Stop Delta Tunnels Act
HRES 1182,"Recognizing June 19, 2022, as this year's observance of the historical significance of Juneteenth Independence Day."
HR 8842,Accelerating Arms Transfers to Taiwan Act
HR 8865,LuLu’s Law
HR 5135,GRID Act of 2021
S 1068,Asuncion Valdivia Heat Illness and Fatality Prevention Act of 2021
S 547,Butch Lewis Emergency Pension Plan Relief Act of 2021
HR 149,Peter J. McGuire Labor Day Landmark Act
S 801,Connected MOM Act
S 528,La Paz County Solar Energy and Job Creation Act
HR 429,Mobile Workforce State Income Tax Simplification Act of 2021
HR 2183,Eliminate the Digital Divide Act of 2021
HRES 788,"Expressing support for the designation of November 10 as ""National Science Day""."
S 1,For the People Act of 2021
SRES 836,"A resolution permitting the collection of clothing, toys, food, and housewares during the holiday season for charitable purposes in Senate buildings."
S 358,Tribal Transportation Equity and Transparency Improvement Act of 2021
HR 761,MAPSA Act
HR 1066,Wildfire Recovery Act
HRES 1360,"Expressing support for designation of the week of September 18 through 24, 2022, as National Adult Education and Family Literacy Week."
HR 3330,Public Land Renewable Energy Development Act of 2021
S 319,Democracy Dies in Darkness Act
HR 8854,Veterans Medical Mileage Adjustment Act of 2022
HR 215,Victims' Voice and Transparency Act
HR 2872,SAFE Act
HR 1081,Charitable Giving Tax Deduction Act
HR 220,STRESS under COVID–19 Act
HR 2405,Streamlining Research on Controlled Substances Act of 2021
HR 871,Expand Medicaid Now Act
HR 8864,SLAPP Protection Act of 2022
HRES 1354,Recognizing the life and memory of Officer Blaize Madrid-Evans.
HR 9347,Main Street Employee Ownership 2.0 Act of 2022
HR 9346,Coastal Communities Ocean Acidification Act of 2022
HR 8161,Fair Pricing with Cost Transparency Act of 2022
HR 8853,Protecting American Savers and Retirees Act
HR 2970,Rolling Stock Protection Act
HR 8231,STEM Pathways Through College Act
HR 8859,Secure Rural and Tribal Lands Act
S 2235,MATE Act of 2021
S 807,Cameras in the Courtroom Act
HR 213,Local Solutions to End Homelessness Act of 2021
HR 216,"To designate a peak in the State of Nevada as Maude Frazier Mountain, and for other purposes."
HR 8833,Making Communities Stronger through the Community Reinvestment Act
HRES 75,Supporting the goals and ideals of Dominican Heritage Month.
HR 8848,Employee Business Expense Deduction Reinstatement Act of 2022
HR 8851,Providing for Life Act
S 1372,Sustainable Shark Fisheries and Trade Act of 2021
HR 112,Care Veterans Deserve Act of 2021
HRES 110,"Expressing support for the designation of February 7 to 13, 2021, as ""National Burn Awareness Week""."
HRES 156,Congratulating the Tampa Bay Buccaneers for winning Super Bowl LV.
HR 8843,MARINA Act
HR 225,"To amend chapter 44 of title 18, United States Code, to more comprehensively address the interstate transportation of firearms or ammunition."
HRES 1342,"Reaffirming the importance of diplomacy and development in United States-African Union relations, promoting strategic partnerships and shared objectives between the United States and the African Union, and expressing strong support for the successful implementation of the African Continental Free Trade Area."
S 1253,Maximizing America’s Prosperity Act of 2021
HR 2722,ALLERGY Act
HR 3698,D-BLOC Act
S 2266,Historic Tax Credit Growth and Opportunity Act of 2021
S 1539,Voters’ Access to Water Act
SRES 63,An original resolution authorizing expenditures by the Committee on Finance.
HRES 1493,Expressing the sense of the House of Representatives in support of the peaceful democratic and economic aspirations of the people of Sri Lanka.
HR 229,Campaign Spending Integrity Act
S 7,VAWA Technical Amendment Act of 2022
HR 3077,Postal Service Improvement Act
HR 555,Protecting the Dignity of Unborn Children Act of 2021
HR 1425,To amend the Internal Revenue Code of 1986 to repeal the limitation on the cover over of distilled spirits taxes to the Virgin Islands and Puerto Rico.
HR 8852,End Veteran Hunger Act of 2022
HR 8834,EQUIP Act of 2022
HR 2628,Debt Collection Practices Harmonization Act
S 1533,End the Limo Loophole Act
HR 8860,TRACE Act
HR 661,Congressional Foreign Entanglement Disclosure and Reduction Act
S 943,Parris Island Protection Act
HR 195,Group Term Life Insurance Increase Act
HR 742,FLEX Act
HR 3631,"To require the Administrator of the Environmental Protection Agency to revise certain ethylene oxide emissions standards under the Clean Air Act, and for other purposes."
HR 9316,250th Anniversary of the United States Marine Corps Commemorative Coin Act
S 3,Interactive Federal Review Act
S 2270,Protecting Life and Taxpayers Act of 2021
HR 3016,Commuter Parkway Safety and Reliability Act
HR 3062,"To establish an exemption from a limitation on the use of certain airport funds for safety projects at a nonhub airport or small hub airport, and for other purposes."
S 376,Safe RIDE Act of 2021
S 101,Environmental Justice Mapping and Data Collection Act of 2021
S 359,Feed Emergency Enhancement During Disasters with Cover Crops Act of 2021
HR 7089,VET PFAS Act
HRES 985,Recognizing the 11th anniversary of the Syrian revolution against Bashar al-Assad.
HR 1985,Nursing Home Reform Modernization Act of 2021
S 1113,Accelerating Rural Broadband Deployment Act
HRES 980,"Expressing support for the designation of the third week of March 2022 as ""National CACFP Week""."
HR 2242,Pay Equity for All Act of 2021
S 262,Supporting State and Local Leaders Act
S 2221,END CRT Act
S 1403,Move America Act of 2021
HR 4447,21st Century FTC Act
S 1323,End Price Gouging for Medications Act
HR 7084,PATCH Act of 2022
S 865,Puerto Rico Self-Determination Act of 2021
HR 3747,Securing American Research from Cyber Theft Act
HR 7092,Universal Prekindergarten and Early Childhood Education Act of 2022
HR 2577,Article I Regulatory Budget Act
S 2985,Indian Programs Advance Appropriations Act of 2021
S 332,Taiwan Invasion Prevention Act
SRES 15,A resolution authorizing the taking of a photograph in the Chamber of the United States Senate.
HR 1071,Election Technology Integrity and Fraud Prevention Act
S 1485,Linear Generator Parity Act
HRES 209,Supporting the designation of March 2021 as National Colorectal Cancer Awareness Month.
HR 7646,Emerging Signals Modernization Act of 2022
SRES 56,"An original resolution authorizing expenditures by the Committee on Commerce, Science, and Transportation."
S 2268,I–VETS Act
SRES 9,A resolution notifying the House of Representatives of the election of a President pro tempore.
S 1027,Tax Assistance for Crumbling Foundations Act
HR 1698,Nuclear Industrial Base Act
HR 1836,Guard and Reserve GI Bill Parity Act of 2021
HR 3855,Accounting STEM Pursuit Act of 2021
SRES 29,A resolution electing Sonceria Ann Berry as Secretary of the Senate.
S 244,Eric Garner Excessive Force Prevention Act
HR 307,"To amend title 38, United States Code, to direct the Secretary of Veterans Affairs to include the KIA, MIA, and POW acronyms on headstones and markers furnished by the Department of Veterans Affairs."
HR 2232,Help Students Vote Act
HR 843,To amend the Commodity Credit Corporation Charter Act to raise the borrowing limit of the Commodity Credit Corporation.
HR 3132,Lake Tahoe Restoration Reauthorization Act
S 2281,Secure and Fair Employment in federal Contracting Act
HR 2675,Maximizing America’s Prosperity Act of 2021
HJRES 18,Proposing an amendment to the Constitution of the United States to limit the number of terms that a Member of Congress may serve.
S 2175,Preventive Home Visit Act
S 883,Educational Opportunity and Success Act of 2021
HR 5002,District of Columbia Zoning Commission Home Rule Act
S 508,A bill to establish a working group on electric vehicles.
S 152,Right to Test Act
HRES 223,"Providing amounts for the expenses of the Committee on Science, Space, and Technology in the One Hundred Seventeenth Congress."
HR 5014,Anti-Congestion Tax Act
HR 7526,Servicemembers’ Credit Monitoring Enhancement Act
HR 919,Emergency Unemployment Relief for Nonprofits Act
HR 3185,Save Local Business Act
HR 6043,Wounded Warrior Bill of Rights Act of 2021
HR 6416,Banning Surveillance Advertising Act of 2022
HR 4685,Trading Isn’t a Game Act
S 1606,Shawnee Wilderness Designation Act
HR 627,Child Custody Protection Act of 2021
S 3597,Deschutes River Conservancy Reauthorization Act of 2022
S 2250,A bill to extend concealed carry rights to Federal judges and prosecutors.
HR 1294,Foreign-Free Elections Act
HR 53,Freedom for Families Act
HR 3584,Made in America Emergency Preparedness Act
SRES 138,A resolution urging the European Parliament to exempt certain technologies used to detect child sexual exploitation from European Union ePrivacy directive.
HR 375,No Mask Mandates Act
HR 886,COVID–19 Diaper Assistance Act
HR 3309,MADE in The Americas Act
HR 704,ARTS Act
S 2232,Restore and Modernize Our National Laboratories Act of 2021
S 4307,Kidney Health Connect Act
HR 1460,Nicholas and Zachary Burt Memorial Carbon Monoxide Poisoning Prevention Act of 2021
HR 727,Facilitating Virtual Visitation for Nursing Home Residents Act of 2021
HR 2585,FIRE Act of 2021
HRES 453,Recognizing and celebrating the 225th anniversary of the entry of the State of Tennessee into the United States as the 16th State.
HR 5510,Truth in Healthcare Marketing Act of 2021
HR 6638,"To amend title 38, United States Code, to make certain improvements to the Office of Accountability and Whistleblower Protection of the Department of Veterans Affairs, and for other purposes."
HR 1249,No Money Bail Act of 2021
HR 2963,VOW to Hire Heroes Extension Act of 2021
HR 2537,Consumer Protection for Medical Debt Collections Act
HR 4053,Defense Community Teacher Support Act
S 1932,No Vaccine Passports Act
HR 1188,Greater Accountability in Pay Act of 2021
S 2856,A bill to regulate tax return preparers and refund anticipation payment arrangements.
S 279,National Broadband Plan for the Future Act of 2021
SRES 190,"A resolution recognizing 50 years of service by the National Railroad Passenger Corporation, commonly known as Amtrak."
